index,Follower,Target
68297783,1848992,92861
76782268,4192232,195362
54283621,229746,117112
72815329,2987398,12890
6182083,148386,8763523
27167679,217798,620346
51861592,90139,4212166
14302909,3573224,3573233
19991811,517901,726967
71677017,2661390,2433212
18318300,3642678,618784
3262685,1329703,677843
1036997,557571,558028
39752944,195220,1158978
19301619,4979482,1414968
12638054,631853,8770805
52040612,95194,234702
73484936,3129227,584491
7069288,2150479,69324
10428890,1144189,594574
29871528,89068,10686900
72695771,2957908,35281
6818024,127781,627292
73691151,3199049,1282152
58182250,604324,1147935
63881885,1299314,16070
16483068,1171777,445360
31114161,265243,56573
8951110,1096583,3501193
52828,31866,8765362
36764795,4238926,8864438
31355463,196780,1293653
76186153,4035078,4027047
33487292,471208,2240348
10962701,1080039,9209280
26855636,91742,2790166
58635308,621802,407048
70122571,2241724,2184544
51683035,81921,2851297
58056087,592725,3364
81804206,6571210,284687
38520808,195362,1353314
36513190,503486,1470101
57697545,553658,1171972
14510500,517690,107139
69519097,2084551,1643110
83230607,7168099,3428159
46350278,56669,2052298
23061430,508652,58662
45667179,1298019,2166021
30041998,3493,2102346
61677285,1017577,407048
30942804,7724,2041852
26965707,53468,6532308
28954786,398124,390554
54181104,224618,2340
29763059,53881,4196095
29611760,3417,5061934
22488057,5752002,8966337
45132317,8591601,11227461
48050810,140055,718952
78592254,4800308,2708807
54553305,242905,79914
7683275,150931,414139
42654741,4018,3352929
17188940,885327,4014108
78431932,4707426,96853
60104303,753322,576780
69687571,2118129,4857543
24225312,627824,2769604
82074425,6629052,11749
21975727,5599035,16281
43666913,3402,7426380
22316138,33975,1071764
55645384,302412,71356
8837869,2487540,8763261
71136585,2479824,871659
81329498,6404928,5994113
75023427,3479237,3479235
43482713,47604,1956780
30745620,1665608,7129516
63281625,1223934,99955
13076801,510584,3428287
56064047,398021,206159
23077455,1717914,8765644
42486242,606588,8394737
62445165,1126206,8096430
33139848,812996,3094336
33236384,267322,10825355
50859848,55989,32405
40635589,3364,6736890
73801446,3225185,13952
26660541,6286,1092667
42046428,65187,4144829
63002963,1198609,1198570
9898617,861573,2012398
63229205,1221293,46643
63299403,1227168,3391292
1387549,665027,2458047
41757715,195527,1501243
4088768,7051,1511032
54337122,233438,119439
82580782,6798377,44064
76743759,4190945,654908
11409655,877641,3365027
64476712,1360037,43558
83682676,7444266,194131
20223382,5357353,1111212
52817189,134473,146360
43959579,117986,1503859
44599588,6738062,7014
35478078,491551,10935878
81215683,6297319,5994113
47242324,1734882,7374941
64371911,1351136,412385
4912754,1108337,2303
12755650,626510,76949
13679385,3470934,1098013
13480678,17389,1026020
32518609,2167179,10624889
32583136,72145,446111
40670684,3364,105909
26928215,121193,570870
35513562,4046,3493
35533790,492187,4284979
26511912,18732,1435181
38687255,132335,2441409
67977792,1823117,208407
41081983,44058,267278
10638630,2814518,2702152
7986781,843457,553213
25428277,4583,259413
16850115,1949641,1582138
44072775,219703,54328
74408489,3363690,3363156
81693361,6555696,259580
62532868,1145034,55567
15323775,2945656,400119
38798141,92861,4947878
38321795,97010,8762941
35150155,389790,5963881
69214930,2005752,89068
41045476,47162,7125082
66584096,1565352,16201
19280982,820026,8763387
69617033,2108261,107491
85067111,8509441,6623784
17152252,505687,8765293
26946552,53468,217822
38294795,96921,9536905
11890540,119357,2384453
51313647,69153,2629484
4872650,475054,1704326
81368369,6441655,5994113
10350029,22224,847801
33511830,7296621,3300902
7028093,696776,3094813
18807237,635810,4863327
80900521,6008243,7248369
63210219,1219278,899121
55132774,269440,1000576
64651808,1385074,1140118
78521353,4758606,280514
47362007,1552915,934145
73468832,3126461,83960
27594100,44064,121078
76899016,4196099,47344
13958064,564729,2560346
16127315,884895,7506442
72741629,2963604,152900
32887808,72280,1851713
3953862,245534,699394
19888675,2943906,384478
73931775,3263554,422844
25259722,619114,1507936
85115726,8556040,980369
8920123,2515239,238044
84066646,7691350,2457982
73408067,3110498,2339
45696144,6590952,747540
82440832,6750180,37576
36939967,261077,11019079
51140994,62984,32438
48376928,2729,259559
66939037,1618198,34852
9134337,107438,125547
29321986,117958,134886
17407275,99104,287825
69805655,2143081,76376
13880478,3493789,8765163
1239946,23625,1277814
17877122,43129,606492
34833544,484983,49375
54391196,234933,294856
11923241,293984,1636253
15967592,955790,8801641
3881786,841645,1026527
7305177,650247,2208622
16419258,2943338,5451433
11346517,184592,729
47092596,54988,1380505
31461229,196241,33343
28532796,33391,454092
60431659,856724,7744
15803049,25659,3088382
10077048,2768028,2816303
71051240,2463387,457239
47477489,47350,6578527
19043680,1246601,10267764
11537716,149458,8780262
36156019,499454,8771954
62287463,1090961,300796
41761187,8528,1848044
15087805,2937288,9840832
38756915,132335,1787241
60014452,742200,70936
63080851,1206906,376680
17753554,4694415,9096379
46033744,4014640,2232
52881935,136334,195786
81446895,6509000,203356
46521614,46345,3097267
71096730,2472274,46381
40565871,618837,593752
48080929,140615,7154224
11847915,379272,9046865
20604758,5390093,7855286
45491835,2339,1046404
50698621,54874,76376
17056840,136827,1917806
52886172,136501,4119804
29739447,53881,5361261
1573871,741750,8763527
82621043,6812042,2237761
84027325,7673484,8107764
84413107,7953214,2701051
77925414,4505729,3029699
29337088,117958,119926
60193706,785622,422298
1893502,164158,30517
80551886,5808810,65187
17487346,514002,8763414
25740227,194821,56797
48852424,10588,654474
26682726,628841,7023
2151559,994123,1382794
26309132,54889,443724
11261481,117730,3194144
85017621,8462135,32171
25103629,46232,3352743
